iter	Logloss
0	0.6701170242
1	0.651561857
2	0.6359589986
3	0.6233689971
4	0.6127326579
5	0.6030852997
6	0.5955072503
7	0.5887732871
8	0.583272693
9	0.5783414025
10	0.5743216479
11	0.5712261066
12	0.5683812002
13	0.5659834569
14	0.5640205663
15	0.5622239313
16	0.5606195884
17	0.5593223122
18	0.5579578146
19	0.5569678313
20	0.5560541398
21	0.5552729749
22	0.5546380146
23	0.5539767323
24	0.5534121978
25	0.5529149821
26	0.5523258949
27	0.5519150556
28	0.5515150118
29	0.5511572953
30	0.5509286279
31	0.5506275386
32	0.5503354279
33	0.5500887145
34	0.5498171407
35	0.5495753542
36	0.5493739037
37	0.5492388657
38	0.5489413938
39	0.5487450179
40	0.5486105416
41	0.5484675254
42	0.5483589999
43	0.5481708444
44	0.5480323232
45	0.5478958663
46	0.5477155864
47	0.547577128
48	0.5473814409
49	0.5472706349
50	0.5471149518
51	0.5470183946
52	0.546777955
53	0.5467126438
54	0.5465792915
55	0.5464642146
56	0.546327537
57	0.5462342348
58	0.546098574
59	0.5459968852
60	0.5459280234
61	0.5457148615
62	0.5456005399
63	0.5454825452
64	0.5453304902
65	0.5452146102
66	0.5451435832
67	0.5450624045
68	0.544950161
69	0.5448001612
70	0.5446660444
71	0.5445330354
72	0.5444218718
73	0.5443410287
74	0.5442551626
75	0.5441175452
76	0.5439142971
77	0.5437788225
78	0.5436974907
79	0.5435869159
80	0.5435098855
81	0.5433781065
82	0.5432193741
83	0.5431000704
84	0.5430010054
85	0.5428942639
86	0.542873187
87	0.542755457
88	0.5426883725
89	0.5425800205
90	0.5424401668
91	0.5423076425
92	0.5421904397
93	0.541969309
94	0.5419285093
95	0.5418042393
96	0.5417149747
97	0.5416049022
98	0.5415532638
99	0.5414233583
100	0.5412781591
101	0.5411761536
102	0.5409983476
103	0.5408635756
104	0.5407238761
105	0.540606107
106	0.5405547915
107	0.5404714459
108	0.5404301381
109	0.540361335
110	0.5402481207
111	0.5401480538
112	0.540078348
113	0.5400412152
114	0.5399337332
115	0.5398401969
116	0.5397465107
117	0.539711403
118	0.5396812093
119	0.5396179502
120	0.5394909086
121	0.5393800271
122	0.5393228891
123	0.5392285208
124	0.5391910159
125	0.5390791412
126	0.5390056444
127	0.5388329423
128	0.5387145361
129	0.5385375034
130	0.5383942504
131	0.5383011685
132	0.5382512751
133	0.5381013095
134	0.5380562822
135	0.5379317971
136	0.5378361977
137	0.5377399457
138	0.5377171621
139	0.5375746878
140	0.5374310919
141	0.5372922914
142	0.5372483083
143	0.5371447127
144	0.5370593487
145	0.5369473387
146	0.5368002359
147	0.5366916643
148	0.5365294642
149	0.5364835077
150	0.5363651681
151	0.5363378553
152	0.5363157308
153	0.5361877108
154	0.5361226552
155	0.5360363695
156	0.5360115139
157	0.5358517676
158	0.5357688153
159	0.5356763971
160	0.5355654384
161	0.5354403516
162	0.5353995489
163	0.5352361616
164	0.535130831
165	0.5348925632
166	0.5348038464
167	0.5346810473
168	0.5345790153
169	0.5344588232
170	0.5343300699
171	0.5342264033
172	0.5341147256
173	0.5339980592
174	0.5339491998
175	0.5339109766
176	0.5337755654
177	0.5336160109
178	0.5335196381
179	0.5333642772
180	0.5332283411
181	0.5332165436
182	0.5330631494
183	0.5329453635
184	0.532798521
185	0.5327008126
186	0.5326159368
187	0.5323831118
188	0.5322781234
189	0.5321232921
190	0.5320161683
191	0.5318102174
192	0.5317559793
193	0.5316129493
194	0.5314968607
195	0.5314596584
196	0.5312338239
197	0.531073538
198	0.5309232424
199	0.5308072579
200	0.5307064056
201	0.5306289148
202	0.5305014313
203	0.5303626203
204	0.530271232
205	0.5301444959
206	0.5300898957
207	0.5300322024
208	0.5299771419
209	0.5299457592
210	0.5298234666
211	0.529763141
212	0.5296517919
213	0.5295695861
214	0.5294235028
215	0.5294093017
216	0.5293276033
217	0.5291883564
218	0.5291463045
219	0.5290822882
220	0.5289897753
221	0.5288455634
222	0.5287515613
223	0.5286406146
224	0.52848353
225	0.5283711202
226	0.5282874765
227	0.5281809678
228	0.5280164473
229	0.5278981931
230	0.5277900317
231	0.5277112669
232	0.52766215
233	0.527505897
234	0.527376083
235	0.5272301556
236	0.5271812599
237	0.5271630599
238	0.5269942618
239	0.5268054954
240	0.5267550064
241	0.5266587556
242	0.5266383691
243	0.5265304748
244	0.526380732
245	0.5262330114
246	0.526108361
247	0.5259892563
248	0.5258600162
249	0.5257489424
250	0.5257183009
251	0.5255619021
252	0.5254207876
253	0.5253690454
254	0.5252902606
255	0.5252228894
256	0.5251228456
257	0.525074192
258	0.5248849219
259	0.5247859854
260	0.5246543418
261	0.5245909927
262	0.524452365
263	0.52434807
264	0.5242281989
265	0.524066318
266	0.5239704493
267	0.5238562353
268	0.5238162801
269	0.523711091
270	0.5236392227
271	0.5235670842
272	0.5234168213
273	0.5233373319
274	0.5232005135
275	0.5230801453
276	0.523008003
277	0.5228426839
278	0.5228073692
279	0.5227601894
280	0.5226044945
281	0.5224804799
282	0.5223230764
283	0.5222582314
284	0.522154227
285	0.5220687597
286	0.522024811
287	0.5219641221
288	0.5219302834
289	0.5217758741
290	0.5217494703
291	0.521680489
292	0.5214782047
293	0.5213982908
294	0.5213926251
295	0.5213583306
296	0.5213117674
297	0.521275204
298	0.521173746
299	0.5210394803
300	0.5210038471
301	0.5208559665
302	0.5207837983
303	0.5206648236
304	0.5205791615
305	0.5203957509
306	0.5203124073
307	0.5202755644
308	0.5202005775
309	0.5201672182
310	0.5200411283
311	0.5198881576
312	0.5198385323
313	0.5197466383
314	0.5197189209
315	0.5195442506
316	0.5194173725
317	0.5193600305
318	0.5193192439
319	0.5192781619
320	0.519264404
321	0.5192349523
322	0.5191402489
323	0.5190822263
324	0.5189264635
325	0.5187572702
326	0.5187264458
327	0.5186846332
328	0.5185514579
329	0.5184580257
330	0.5183112081
331	0.518180058
332	0.5180957783
333	0.5180132652
334	0.517877216
335	0.5177421547
336	0.5176325942
337	0.5176127042
338	0.5175415891
339	0.5174535138
340	0.5173728735
341	0.5172391706
342	0.5171896502
343	0.5171746875
344	0.5170278441
345	0.516890301
346	0.5167880875
347	0.5167594282
348	0.5166658436
349	0.5165628728
350	0.5164556562
351	0.5163442118
352	0.5162599443
353	0.5161821566
354	0.5160955967
355	0.5160241196
356	0.5159555985
357	0.5157671772
358	0.515630913
359	0.5155892583
360	0.5154744187
361	0.5152984483
362	0.515167239
363	0.5151198356
364	0.5150257514
365	0.5149856809
366	0.5149247182
367	0.5148498438
368	0.5146897141
369	0.5146065881
370	0.5145794856
371	0.5144917521
372	0.5144100195
373	0.5143035525
374	0.5142255987
375	0.5141609929
376	0.5140348389
377	0.513910265
378	0.5138645834
379	0.5137379435
380	0.5136925491
381	0.5135382009
382	0.5134431207
383	0.5133380683
384	0.5133000041
385	0.5131778746
386	0.5130326934
387	0.5129592558
388	0.5128633516
389	0.5127647779
390	0.5126574377
391	0.5125774828
392	0.5125403801
393	0.5124515983
394	0.5122937626
395	0.5122231113
396	0.5121044146
397	0.512012947
398	0.5119620185
399	0.5118485151
400	0.5117387511
401	0.5116900672
402	0.5116096114
403	0.5115682068
404	0.5114300108
405	0.5113051579
406	0.5111684018
407	0.5110302828
408	0.5109804208
409	0.5108781946
410	0.5107973369
411	0.5106945816
412	0.510614935
413	0.510494078
414	0.5103757387
415	0.5102615469
416	0.5102298153
417	0.5102076847
418	0.5101635489
419	0.5100995168
420	0.5099783072
421	0.5098728632
422	0.5098249101
423	0.5097044853
424	0.5096863508
425	0.5095693535
426	0.5094848589
427	0.5094435231
428	0.5093394534
429	0.5093148189
430	0.5091890162
431	0.5091159042
432	0.5089905742
433	0.5088922366
434	0.5088316178
435	0.5087115659
436	0.5086485373
437	0.508604304
438	0.5084946409
439	0.508456712
440	0.508343582
441	0.5083155862
442	0.5082123127
443	0.508085245
444	0.5079557909
445	0.5078737423
446	0.5078320244
447	0.5077914773
448	0.5077139609
449	0.5075910933
450	0.5075477525
451	0.5074756709
452	0.5073768796
453	0.5073005598
454	0.5071801256
455	0.5071400311
456	0.5069970069
457	0.5069065968
458	0.5068046868
459	0.5067226576
460	0.5066460904
461	0.5066078548
462	0.5064968361
463	0.5063710136
464	0.5062558396
465	0.5061851431
466	0.5061393878
467	0.5060371948
468	0.5059517021
469	0.5058645045
470	0.5058436764
