iter	Passed	Remaining
0	15	15440
1	29	14551
2	42	14031
3	54	13587
4	66	13289
5	79	13162
6	93	13207
7	106	13265
8	120	13274
9	133	13259
10	147	13297
11	161	13327
12	175	13306
13	189	13320
14	202	13319
15	216	13303
16	230	13299
17	243	13280
18	256	13265
19	270	13264
20	285	13291
21	299	13308
22	312	13276
23	326	13265
24	339	13253
25	353	13260
26	368	13285
27	383	13316
28	399	13359
29	414	13409
30	428	13406
31	443	13419
32	458	13444
33	474	13478
34	488	13478
35	502	13466
36	516	13433
37	529	13400
38	542	13361
39	556	13347
40	569	13321
41	582	13285
42	596	13265
43	609	13239
44	623	13230
45	638	13239
46	652	13235
47	667	13246
48	683	13258
49	700	13302
50	718	13370
51	736	13431
52	755	13499
53	771	13519
54	787	13537
55	805	13572
56	820	13576
57	834	13558
58	849	13543
59	864	13536
60	881	13571
61	900	13627
62	921	13701
63	938	13725
64	954	13729
65	969	13721
66	984	13702
67	997	13676
68	1012	13666
69	1027	13654
70	1041	13621
71	1055	13606
72	1069	13577
73	1083	13552
74	1096	13528
75	1110	13506
76	1124	13482
77	1139	13464
78	1154	13455
79	1169	13445
80	1184	13442
81	1200	13444
82	1217	13447
83	1233	13454
84	1249	13448
85	1265	13447
86	1281	13447
87	1298	13456
88	1315	13460
89	1331	13465
90	1348	13465
91	1364	13470
92	1381	13468
93	1397	13467
94	1412	13453
95	1428	13450
96	1446	13466
97	1465	13492
98	1484	13511
99	1501	13513
100	1516	13501
101	1531	13482
102	1546	13464
103	1560	13446
104	1575	13426
105	1589	13403
106	1603	13380
107	1618	13368
108	1633	13353
109	1649	13349
110	1667	13354
111	1684	13356
112	1700	13349
113	1716	13342
114	1733	13336
115	1749	13334
116	1765	13322
117	1780	13308
118	1794	13284
119	1810	13275
120	1826	13271
121	1843	13268
122	1859	13259
123	1875	13248
124	1890	13230
125	1906	13221
126	1920	13200
127	1934	13180
128	1949	13163
129	1965	13152
130	1979	13134
131	1993	13109
132	2007	13085
133	2022	13068
134	2035	13045
135	2050	13025
136	2063	13000
137	2077	12977
138	2091	12956
139	2107	12944
140	2123	12936
141	2139	12927
142	2154	12909
143	2169	12895
144	2184	12883
145	2201	12877
146	2216	12862
147	2234	12861
148	2250	12856
149	2266	12840
150	2282	12831
151	2297	12816
152	2312	12803
153	2328	12793
154	2345	12787
155	2361	12776
156	2375	12756
157	2391	12743
158	2407	12736
159	2423	12722
160	2440	12716
161	2459	12720
162	2473	12701
163	2489	12688
164	2505	12678
165	2522	12672
166	2539	12665
167	2555	12654
168	2570	12640
169	2586	12629
170	2603	12619
171	2618	12607
172	2634	12595
173	2650	12581
174	2665	12566
175	2680	12551
176	2697	12544
177	2714	12535
178	2729	12520
179	2746	12510
180	2762	12501
181	2777	12482
182	2794	12474
183	2811	12466
184	2828	12462
185	2846	12456
186	2862	12445
187	2878	12433
188	2894	12420
189	2910	12408
190	2926	12395
191	2943	12386
